a,6378245.000
1/f,298.300
L0,112.00

B67,45.07085800,113.42303840,114.127
P74,45.17234240,113.35408480,115.266
P22,43.21192600,114.29355560,102.369
Q94,44.54209160,113.50547440,112.705
A24,45.24533520,113.30594000,116.099
A21,43.42130320,114.25149520,104.691
P10,44.39159840,114.00113760,111.030
P48,45.29291840,113.28491520,116.610
A41,44.02160440,114.18311400,106.919
B31,44.22119280,114.09312480,109.133
P85,45.31056280,113.29229560,116.788
Q06,44.21044280,114.10051600,109.008
B28,44.03290520,114.18020880,107.054
B96,45.29405240,113.28464520,116.631
Q47,44.38152880,114.00468000,110.917
A16,43.43300360,114.24536760,104.833
A80,45.25157080,113.30466560,116.140
B10,44.53282120,113.51284400,112.608
A66,43.22386400,114.29241080,102.516
